Linha,Linha nome,Itinerário,Sentido
369,BARRA / FPOLIS VIA R.GRANDE/P.IMARUIM/I.SILVEIRA,ITI VOLTA - FPOLIS / BARRA VIA,PC2
370,SÃO JOSÉ/ FLORIANÓPOLIS VIA IVO SILVEIRA,ITI IDA - SÃO JOSÉ /,PC1
370,SÃO JOSÉ/ FLORIANÓPOLIS VIA IVO SILVEIRA,ITI VOLTA - FLORIANÓPOLIS /,PC2
371,SÃO JOSÉ / FLORIANÓPOLIS VIA SENAI/IVO SILVEIRA,ITI IDA - SÃO JOSÉ /,PC1
371,SÃO JOSÉ / FLORIANÓPOLIS VIA SENAI/IVO SILVEIRA,ITI VOLTA - FLORIANÓPOLIS /,PC2
372,SAO JOSE / FPOLIS VIA PONTA DE BAIXO/IVO SILVEIRA,ITI IDA - SÃO JOSÉ / FPOLIS VIA,PC1
372,SAO JOSE / FPOLIS VIA PONTA DE BAIXO/IVO SILVEIRA,ITI VOLTA - FLORIANÓPOLIS /,PC2
380,NOVA PALHOÇA / FPOLIS VIA P.IMARUIM/S.JOSÉ/I.SILV,ITI IDA - NOVA PALHOÇA /,PC1
380,NOVA PALHOÇA / FPOLIS VIA P.IMARUIM/S.JOSÉ/I.SILV,ITI VOLTA - FLORIANÓPOLIS /,PC2
381,NOVA PALHOÇA / FPOLIS VIA P.IMAR/BR101/FAZ/IVO SIL,ITI IDA - NOVA PALHOÇA /,PC1
384,ARIRIU / FLORIANÓPOLIS - EXECUTIVO,ITI IDA - ARIRIU /,PC1
385,NOVA PALHOÇA / FPOLIS VIA BR 101/EXP/IVO SILVEIRA,ITI VOLTA - FLORIANÓPOLIS /,PC2
386,ESCOLA MUN / FPOLIS VIA PONTE IMARUIM/IVO,ITI IDA - ESCOLA MUNICIPAL DE,PC1
387,UPA B.VISTA / FPOLIS VIA PALHOÇA/BR 101/EXPRESSA,ITI IDA - UPA B.VISTA / FPOLIS,PC1
402,B.VISTA / P.IMARUIM (PRAÇA) VIA ELZA LUCCHI,ITI IDA - BELA VISTA / PONTE DO,PC1
403,BELA VISTA / PONTE DO IMARUIM (PRAÇA),ITI IDA - BELA VISTA / PONTE DO,PC1
403,BELA VISTA / PONTE DO IMARUIM (PRAÇA),ITI VOLTA - PAGANI (BISTEK) /,PC2
403,BELA VISTA / PONTE DO IMARUIM (PRAÇA),ITI VOLTA - PALHOÇA (CAIXA,PC2
403,BELA VISTA / PONTE DO IMARUIM (PRAÇA),ITI VOLTA - PALHOÇA / BELA,PC2
403,BELA VISTA / PONTE DO IMARUIM (PRAÇA),ITI VOLTA - PONTE DO,PC2
502,MORRO DO GATO / P.IMARUIM VIA P.VINTE/E.LUCHI,ITI IDA - MORRO DO GATO /,PC1
503,SÃO SEBASTIÃO / PALHOÇA (PRAÇA) VIA PASSA VINTE,ITI IDA - SÃO SEBASTIÃO /,PC1
503,SÃO SEBASTIÃO / PALHOÇA (PRAÇA) VIA PASSA VINTE,ITI VOLTA - PALHOÇA (CAIXA,PC2
543,PALHOCA OU P.IMARUIM / T.NOVA CIRCULAR VIA C.NOVO,ITI IDA - CLAUDETE / T.NOVA,PC1
